127.0.0.1, 2016-11-11 15:02:34, GET, /, HTTP/1.1, 303, 0.001221
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/default/index, HTTP/1.1, 200, 6.429206
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000568
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000651
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001699
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000801
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003300
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003107
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005651
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001803
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000602
127.0.0.1, 2016-11-11 15:02:40, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000475
127.0.0.1, 2016-11-11 15:02:41, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000850
127.0.0.1, 2016-11-11 15:02:43, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000591
127.0.0.1, 2016-11-11 15:02:43, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000529
127.0.0.1, 2016-11-11 15:02:43, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000567
127.0.0.1, 2016-11-11 15:02:43, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000646
127.0.0.1, 2016-11-11 15:02:43, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000504
127.0.0.1, 2016-11-11 15:02:50, GET, /, HTTP/1.1, 303, 0.000597
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.047809
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000604
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002086
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000612
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000449
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000589
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000570
127.0.0.1, 2016-11-11 15:02:51, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000606
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/default/index, HTTP/1.1, 200, 0.954636
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000796
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000647
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001314
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000896
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000620
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.002484
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002115
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002560
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003291
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000860
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2016-11-11 15:02:55, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000584
127.0.0.1, 2016-11-11 15:02:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000468
127.0.0.1, 2016-11-11 15:02:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2016-11-11 15:03:02, POST, /admin/default/index, HTTP/1.1, 303, 0.085025
127.0.0.1, 2016-11-11 15:03:02, GET, /admin/default/site, HTTP/1.1, 200, 0.083631
127.0.0.1, 2016-11-11 15:03:03, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000658
127.0.0.1, 2016-11-11 15:03:03, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000587
127.0.0.1, 2016-11-11 15:03:03, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000550
127.0.0.1, 2016-11-11 15:03:18, POST, /admin/default/check_version, HTTP/1.1, 200, 15.707625
127.0.0.1, 2016-11-11 15:03:45, POST, /admin/default/site, HTTP/1.1, 303, 0.323984
127.0.0.1, 2016-11-11 15:03:45, GET, /admin/default/site, HTTP/1.1, 200, 0.086367
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/default/index, HTTP/1.1, 200, 0.164984
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000671
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000604
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000549
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000564
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/js/jquery.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/css/calendar.css, HTTP/1.1, 200, 0.000551
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/js/calendar.js, HTTP/1.1, 200, 0.000756
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/js/web2py.js, HTTP/1.1, 200, 0.000514
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/js/share.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/images/favicon.ico, HTTP/1.1, 200, 0.000651
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/images/twitter.png, HTTP/1.1, 200, 0.000609
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/images/gplus-32.png, HTTP/1.1, 200, 0.000567
127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/images/facebook.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2016-11-11 15:03:53, GET, /roomBooking/default/room/room_1, HTTP/1.1, 200, 0.073430
127.0.0.1, 2016-11-11 15:04:03, GET, /roomBooking/default/userpreference/room_1/78, HTTP/1.1, 303, 0.056342
127.0.0.1, 2016-11-11 15:04:04, GET, /roomBooking/default/user/login, HTTP/1.1, 200, 0.261884
127.0.0.1, 2016-11-11 15:04:16, GET, /roomBooking/default/index.html, HTTP/1.1, 200, 0.092580
127.0.0.1, 2016-11-11 15:04:20, GET, /roomBooking/default/room/room_2, HTTP/1.1, 200, 0.078443
